iter	Passed	Remaining
0	26	21512
1	50	20244
2	76	20309
3	100	20085
4	126	20035
5	180	23834
6	214	24351
7	241	23887
8	267	23506
9	294	23235
10	318	22869
11	344	22635
12	369	22393
13	395	22208
14	421	22078
15	448	21958
16	474	21841
17	501	21798
18	529	21779
19	556	21698
20	581	21583
21	606	21460
22	633	21414
23	660	21369
24	689	21365
25	718	21396
26	748	21432
27	778	21454
28	805	21422
29	835	21446
30	863	21425
31	892	21424
32	922	21438
33	948	21365
34	973	21276
35	1000	21224
36	1028	21211
37	1053	21132
38	1079	21061
39	1103	20972
40	1129	20915
41	1155	20858
42	1180	20787
43	1205	20712
44	1232	20677
45	1257	20604
46	1282	20545
47	1309	20509
48	1336	20487
49	1361	20422
50	1387	20377
51	1412	20313
52	1437	20258
53	1462	20209
54	1488	20168
55	1514	20126
56	1539	20064
57	1563	19997
58	1589	19964
59	1613	19901
60	1637	19841
61	1662	19792
62	1687	19741
63	1713	19702
64	1739	19668
65	1763	19615
66	1788	19567
67	1814	19530
68	1839	19490
69	1865	19455
70	1890	19409
71	1915	19364
72	1939	19317
73	1965	19285
74	1991	19250
75	2015	19199
76	2040	19157
77	2064	19108
78	2088	19061
79	2116	19051
80	2144	19036
81	2173	19028
82	2200	19009
83	2231	19016
84	2260	19014
85	2287	18994
86	2313	18963
87	2341	18943
88	2367	18917
89	2395	18896
90	2423	18881
91	2453	18881
92	2484	18883
93	2515	18889
94	2545	18893
95	2574	18878
96	2601	18852
97	2624	18802
98	2651	18772
99	2675	18729
100	2701	18696
101	2725	18650
102	2748	18602
103	2774	18567
104	2800	18536
105	2825	18501
106	2851	18468
107	2877	18437
108	2903	18404
109	2931	18390
110	2961	18379
111	2986	18348
112	3009	18298
113	3035	18265
114	3059	18226
115	3084	18189
116	3109	18150
117	3135	18122
118	3161	18090
119	3186	18054
120	3211	18019
121	3235	17980
122	3259	17943
123	3285	17912
124	3311	17879
125	3338	17857
126	3364	17829
127	3389	17793
128	3414	17762
129	3437	17716
130	3464	17690
131	3490	17663
132	3515	17630
133	3543	17609
134	3574	17606
135	3601	17584
136	3628	17559
137	3653	17525
138	3678	17494
139	3703	17460
140	3727	17422
141	3753	17391
142	3777	17355
143	3802	17322
144	3828	17295
145	3853	17259
146	3878	17228
147	3902	17191
148	3929	17167
149	3953	17130
150	3977	17096
151	4003	17068
152	4026	17028
153	4051	16995
154	4076	16964
155	4101	16929
156	4125	16895
157	4149	16861
158	4173	16825
159	4200	16803
160	4229	16786
161	4253	16753
162	4279	16723
163	4305	16696
164	4332	16674
165	4357	16643
166	4383	16614
167	4409	16589
168	4434	16556
169	4460	16530
170	4486	16502
171	4511	16473
172	4537	16444
173	4562	16412
174	4588	16386
175	4613	16357
176	4639	16328
177	4664	16300
178	4690	16273
179	4716	16244
180	4743	16221
181	4768	16193
182	4793	16160
183	4818	16131
184	4843	16102
185	4867	16069
186	4893	16040
187	4917	16008
188	4942	15977
189	4966	15943
190	4991	15915
191	5015	15882
192	5039	15850
193	5064	15820
194	5088	15788
195	5113	15756
196	5138	15729
197	5162	15697
198	5187	15666
199	5211	15635
200	5237	15608
201	5260	15574
202	5286	15546
203	5312	15520
204	5338	15493
205	5364	15467
206	5389	15438
207	5413	15408
208	5438	15378
209	5464	15351
210	5489	15323
211	5514	15293
212	5539	15264
213	5563	15235
214	5589	15208
215	5614	15181
216	5640	15153
217	5665	15125
218	5690	15096
219	5716	15070
220	5742	15045
221	5766	15014
222	5793	14989
223	5819	14963
224	5844	14935
225	5869	14908
226	5895	14881
227	5919	14850
228	5943	14819
229	5967	14788
230	5992	14759
231	6016	14730
232	6041	14701
233	6065	14672
234	6089	14641
235	6113	14611
236	6139	14584
237	6164	14555
238	6189	14528
239	6214	14499
240	6239	14471
241	6264	14444
242	6289	14417
243	6314	14388
244	6339	14360
245	6364	14333
246	6389	14305
247	6415	14279
248	6441	14254
249	6469	14231
250	6497	14212
251	6525	14189
252	6557	14177
253	6588	14162
254	6617	14143
255	6647	14125
256	6677	14109
257	6706	14088
258	6735	14068
259	6766	14053
260	6793	14030
261	6820	14004
262	6844	13974
263	6872	13953
264	6900	13931
265	6930	13912
266	6958	13890
267	6996	13889
268	7026	13870
269	7053	13846
270	7082	13825
271	7107	13797
272	7133	13769
273	7158	13742
274	7184	13716
275	7215	13698
276	7259	13707
277	7287	13683
278	7314	13658
279	7360	13669
280	7394	13656
281	7420	13631
282	7446	13602
283	7470	13573
284	7497	13548
285	7523	13521
286	7552	13499
287	7576	13469
288	7601	13441
289	7630	13419
290	7658	13395
291	7686	13371
292	7713	13347
293	7739	13321
294	7763	13289
295	7788	13261
296	7813	13233
297	7838	13203
298	7864	13178
299	7890	13150
300	7916	13124
301	7942	13097
302	7968	13070
303	7995	13044
304	8020	13016
305	8044	12986
306	8068	12957
307	8092	12927
308	8116	12897
309	8141	12869
310	8166	12840
311	8190	12810
312	8215	12782
313	8240	12755
314	8265	12726
315	8291	12699
316	8318	12673
317	8343	12646
318	8367	12617
319	8394	12591
320	8420	12564
321	8445	12536
322	8470	12508
323	8496	12482
324	8523	12457
325	8548	12429
326	8574	12403
327	8599	12375
328	8623	12346
329	8649	12319
330	8673	12290
331	8698	12261
332	8722	12233
333	8747	12204
334	8770	12174
335	8796	12147
336	8823	12122
337	8847	12093
338	8873	12066
339	8898	12039
340	8923	12011
341	8949	11985
342	8976	11959
343	9001	11931
344	9026	11903
345	9050	11876
346	9075	11848
347	9098	11818
348	9124	11790
349	9148	11762
350	9173	11734
351	9198	11706
352	9223	11679
353	9247	11651
354	9273	11624
355	9299	11598
356	9326	11572
357	9351	11546
358	9376	11518
359	9400	11489
360	9425	11461
361	9450	11435
362	9476	11408
363	9501	11380
364	9527	11355
365	9552	11327
366	9577	11299
367	9602	11272
368	9629	11247
369	9655	11221
370	9679	11192
371	9707	11168
372	9732	11141
373	9757	11114
374	9783	11087
375	9807	11059
376	9831	11031
377	9857	11004
378	9882	10977
379	9906	10949
380	9932	10922
381	9957	10895
382	9979	10865
383	10004	10838
384	10031	10812
385	10055	10785
386	10080	10757
387	10103	10728
388	10128	10701
389	10153	10674
390	10179	10648
391	10205	10621
392	10230	10595
393	10255	10568
394	10280	10541
395	10308	10516
396	10332	10489
397	10357	10461
398	10382	10434
399	10406	10406
400	10432	10380
401	10457	10353
402	10482	10326
403	10507	10299
404	10536	10276
405	10564	10251
406	10588	10224
407	10615	10199
408	10641	10172
409	10664	10144
410	10690	10118
411	10715	10091
412	10741	10065
413	10766	10038
414	10791	10011
415	10817	9985
416	10843	9959
417	10868	9932
418	10893	9905
419	10919	9879
